,country,qii,gdp,iso_a3,continent,year,pop
348,Venezuela,-53.04,10568.1,VEN,South America,2015,31155134
52,China,-49.55,6329.464,CHN,Asia,2012,1350695000
162,Venezuela,-48.27,7869.442,VEN,South America,2013,30317848
255,Venezuela,-39.32,7029.892,VEN,South America,2014,30738378
346,Mongolia,-35.74,3842.536,MNG,Asia,2015,2976877
51,Iran,-35.23,5118.474,IRN,Asia,2012,76453574
253,Mongolia,-26.75,4081.015,MNG,Asia,2014,2923896
50,Egypt,-22.17,3383.113,EGY,Africa,2012,87813257
370,Vietnam,-19.52,2085.714,VNM,Asia,2015,91713300
49,Ukraine,-14.61,3872.534,UKR,Europe,2012,45593300
127,Indonesia,-12.54,3684,IDN,Asia,2013,252032263
237,Iran,-11.08,5395.791,IRN,Asia,2014,78411092
47,Russia,-7.39,15358.085,RUS,Europe,2012,143201676
48,Russia,-7.39,15358.085,RUS,Asia,2012,143201676
329,Egypt,-7.07,3731.177,EGY,Africa,2015,93778172
144,Iran,-6.96,5152.037,IRN,Asia,2013,77435384
369,Bangladesh,-5.36,1303.18,BGD,Asia,2015,161200886
368,Cambodia,-4.4,1163.414,KHM,Asia,2015,15517635
46,Philippines,-3.77,2591.627,PHL,Asia,2012,96866642
45,Pakistan,-3.05,1254.17,PAK,Asia,2012,177911533
330,Iran,1.07,4723.476,IRN,Asia,2015,79360487
367,Nigeria,2.99,2763.196,NGA,Africa,2015,181181744
236,Egypt,5.41,3524.418,EGY,Africa,2014,91812566
366,Bolivia,6.55,3068.363,BOL,South America,2015,10724705
365,Kenya,7.32,1453.296,KEN,Africa,2015,47236259
143,Egypt,7.59,3400.321,EGY,Africa,2013,89807433
138,Pakistan,7.67,1266.742,PAK,Asia,2013,181712595
44,Brazil,10.81,12426.686,BRA,South America,2012,200560983
161,Lebanon,12.46,8882.804,LBN,Asia,2013,5276102
160,Mongolia,14.08,4293.834,MNG,Asia,2013,2869107
331,China,15.99,8166.756,CHN,Asia,2015,1371220000
233,Russia,16.53,14305.57,RUS,Europe,2014,143819666
234,Russia,16.53,14305.57,RUS,Asia,2014,143819666
254,Lebanon,18.39,8619.257,LBN,Asia,2014,5603279
140,Russia,18.5,15942.141,RUS,Europe,2013,143506911
141,Russia,18.5,15942.141,RUS,Asia,2013,143506911
328,Ukraine,20.1,2124.619,UKR,Europe,2015,45154029
43,Chile,21.04,15307.766,CHL,South America,2012,17309746
139,Philippines,21.08,2768.472,PHL,Asia,2013,98481032
324,Pakistan,21.82,1424.954,PAK,Asia,2015,189380513
220,Indonesia,21.85,3533.606,IDN,Asia,2014,255131116
235,Ukraine,22.22,3053.608,UKR,Europe,2014,45271947
231,Pakistan,22.32,1312.427,PAK,Asia,2014,185546257
313,Indonesia,22.7,3367.691,IDN,Asia,2015,258162113
42,Greece,23.28,22171.911,GRC,Europe,2012,11045011
41,Colombia,23.38,7950.381,COL,South America,2012,46881475
40,Thailand,24.89,5979.218,THA,Asia,2012,67843979
39,Romania,25.52,8518.923,ROU,Europe,2012,20058035
38,Bosnia And Herzegovina,28.04,4716.643,BIH,Europe,2012,3648200
232,Philippines,28.09,2849.267,PHL,Asia,2014,100102249
326,Russia,28.38,9477.559,RUS,Europe,2015,144096870
327,Russia,28.38,9477.559,RUS,Asia,2015,144096870
364,Macedonia,28.85,4860.421,MKD,Europe,2015,2079308
323,Brazil,29.84,8846.376,BRA,South America,2015,205962108
238,China,30.3,7701.691,CHN,Asia,2014,1364270000
37,Bulgaria,30.77,7399.392,BGR,Europe,2012,7305888
145,China,31.5,7080.828,CHN,Asia,2013,1357380000
142,Ukraine,31.86,3968.797,UKR,Europe,2013,45489600
36,Argentina,32.58,13889.792,ARG,South America,2012,42096739
347,Lebanon,32.81,8540.387,LBN,Asia,2015,5851479
35,Serbia,34.59,6012.63,SRB,Europe,2012,7199077
134,Colombia,35.05,8103.486,COL,South America,2013,47342981
158,Georgia,35.74,4340.711,GEO,Europe,2013,3776000
159,Georgia,35.74,4340.711,GEO,Asia,2013,3776000
227,Colombia,36.53,7998.843,COL,South America,2014,47791911
325,Philippines,36.95,2882.768,PHL,Asia,2015,101716359
34,Indonesia,37.22,3744.53,IDN,Asia,2012,248883232
157,Ecuador,37.68,6030.502,ECU,South America,2013,15661547
353,Jordan,38.61,4145.481,JOR,Asia,2015,9159302
230,Brazil,38.76,12176.246,BRA,South America,2014,204213133
260,Jordan,39.54,4129.994,JOR,Asia,2014,8809306
258,Kazakhstan,40.64,12712.103,KAZ,Europe,2014,17289224
259,Kazakhstan,40.64,12712.103,KAZ,Asia,2014,17289224
363,Moldova,42.13,2174.329,MDA,Europe,2015,3554108
250,Ecuador,42.25,6347,ECU,South America,2014,15903112
362,Dominican Republic,43.6,6903.42,DOM,North America,2015,10528394
33,India,44.01,1481.562,IND,Asia,2012,1263065852
343,Ecuador,44.52,6099.351,ECU,South America,2015,16144368
351,Kazakhstan,47,10434.755,KAZ,Europe,2015,17544126
352,Kazakhstan,47,10434.755,KAZ,Asia,2015,17544126
319,Thailand,47.37,5967.672,THA,Asia,2015,68657600
320,Colombia,47.71,6088.678,COL,South America,2015,48228697
137,Brazil,48.21,12357.57,BRA,South America,2013,202408632
32,Hungary,48.74,12873.202,HUN,Europe,2012,9920362
360,Armenia,49.07,3529.026,ARM,Europe,2015,2916950
361,Armenia,49.07,3529.026,ARM,Asia,2015,2916950
31,Italy,49.65,34469.65,ITA,Europe,2012,59539717
359,Sri Lanka,49.87,3842.252,LKA,Asia,2015,20966000
130,Bulgaria,53.71,7667.592,BGR,Europe,2013,7265115
133,Thailand,54.08,6296.192,THA,Asia,2013,68143065
