,Country,QII_2012,QII_2013,QII_2014,QII_2015,QII_2016,QII_2017,QII_2019,QII_2018,ISO_A3,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,COMB_2012,COMB_2013,COMB_2014,COMB_2015,COMB_2016,COMB_2017
0,Switzerland,194.11,215.71,206.23,222.94,208.54,173.54,195.93,190.81,CHE,83958.54,85675.76,87161.62,82510.45,80490.76,80642.58,0.877,1.0,1.0,1.0,1.0,1.0
1,Germany,184.42,204.84,192.69,195.94,199.7,189.74,187.05,190.04,DEU,44089.28,46544.95,48218.87,41415.17,42460.69,44770.58,0.438,0.516,0.517,0.441,0.505,0.607
2,Norway,183.43,173.86,168.41,175.09,188.9,165.93,181.86,176.27,NOR,101273.38,102722.0,96837.61,74280.7,70703.16,75513.64,1.0,0.966,0.907,0.707,0.796,0.895
3,United Arab Emirates,177.07,186.01,173.27,153.68,144.09,139.27,167.81,163.54,ARE,42723.58,43197.43,43340.02,37380.57,36226.24,37732.66,0.407,0.435,0.418,0.312,0.311,0.376
4,New Zealand,174.28,163.17,168.56,175.51,201.06,184.74,185.58,182.4,NZL,39553.74,41775.71,43857.78,37741.88,38982.8,41350.26,0.371,0.369,0.411,0.36,0.467,0.546
5,Sweden,171.72,191.36,180.92,193.86,185.81,172.74,178.67,176.81,SWE,56978.61,60069.35,58930.15,50565.1,51245.36,52924.36,0.527,0.622,0.593,0.533,0.567,0.653
6,Canada,164.99,186.03,178.29,177.63,177.23,167.18,170.32,173.9,CAN,52753.35,52726.05,50958.06,43615.8,42446.55,45223.97,0.469,0.531,0.505,0.421,0.448,0.54
7,Denmark,163.12,182.29,178.55,190.18,206.49,184.92,198.57,197.75,DNK,58623.41,61325.58,62729.5,53478.5,54665.22,57380.2,0.515,0.605,0.623,0.553,0.672,0.758
8,Australia,162.03,165.8,175.98,180.81,198.79,176.54,191.13,188.7,AUS,68436.22,65170.85,61652.28,51493.96,51982.83,55957.72,0.597,0.585,0.604,0.506,0.616,0.706
9,Austria,159.89,167.39,171.82,182.62,192.4,190.37,191.05,190.22,AUT,48615.82,50748.09,51814.37,44266.41,45105.75,47383.87,0.418,0.46,0.495,0.439,0.517,0.645
10,Netherlands,158.07,160.54,160.98,166.76,192.4,175.23,188.91,191.25,NLD,50100.62,52201.72,52914.14,45205.77,46027.69,48555.35,0.426,0.453,0.474,0.41,0.528,0.608
11,United States,140.62,199.56,195.55,192.49,183.96,179.73,179.2,180.56,USA,51556.17,53061.24,54992.72,56770.4,57876.63,59895.0,0.39,0.573,0.598,0.594,0.634,0.769
12,Japan,130.52,159.79,168.47,168.28,176.06,147.49,180.5,176.04,JPN,48632.9,40490.16,38156.33,34568.93,38804.86,38344.02,0.342,0.35,0.358,0.316,0.407,0.404
13,Ireland,125.14,149.64,142.35,148.85,171.92,166.9,160.82,163.53,IRL,48892.23,51550.93,55534.1,61702.51,63289.73,68722.58,0.329,0.417,0.44,0.499,0.648,0.82
14,Slovenia,121.94,133.62,125.56,134.49,175.93,175.45,175.98,175.36,SVN,22563.16,23378.09,24243.94,20904.66,21635.44,23502.24,0.148,0.169,0.169,0.153,0.227,0.295
15,France,119.51,151.36,136.31,139.31,173.56,160.25,157.83,166.22,FRA,42371.12,44145.23,44616.4,37937.85,38253.42,40045.58,0.273,0.362,0.338,0.287,0.396,0.459
16,Israel,118.25,99.34,91.16,120.43,166.63,157.88,153.82,152.25,ISR,32556.96,36359.93,37750.29,35869.72,37382.96,40560.26,0.207,0.195,0.191,0.235,0.371,0.458
17,United Kingdom,110.09,148.12,150.97,156.9,180.25,172.87,170.81,171.89,GBR,42023.1,42981.25,47003.88,44494.86,40657.86,39975.38,0.249,0.344,0.395,0.38,0.437,0.494
18,Portugal,105.1,119.76,124.71,129.16,181.18,178.43,163.5,166.71,PRT,20588.87,21625.48,22112.54,19262.27,19985.55,21334.13,0.116,0.14,0.153,0.135,0.216,0.272
